,date,clientId,clientName,clientType,productId,productName,productCategory,productPrice,saleType,saleAmount,saleDiscount
0,2024-01-01,469,John Doe,Non-profit,512,Widget Deluxe,Gadgets,18485.965609376704,Online sales,17885.122587281552,10%
1,2024-01-01,251,John Doe,Businesses,550,Widget Deluxe,Gadgets,11246.556059584462,Direct sales,19125.755120581554,10%
2,2024-01-01,857,John Doe,Individuals,495,Widget Deluxe,Gadgets,13108.12436714207,Direct sales,19978.358969563338,10%
3,2024-01-01,791,John Doe,Mixed,544,Widget Deluxe,Gadgets,16309.442172946121,Online sales,10930.839374743078,10%
4,2024-01-01,390,John Doe,Businesses,578,Widget Deluxe,Gadgets,18465.857969099736,Partner sales,17840.36441181867,10%
5,2024-01-01,946,John Doe,Individuals,509,Widget Deluxe,Gadgets,14182.7131043321,Online sales,13617.49805702196,10%
6,2024-01-01,828,John Doe,Businesses,518,Widget Deluxe,Gadgets,15573.490709056508,Online sales,17136.643008948384,10%
7,2024-01-01,284,John Doe,Mixed,527,Widget Deluxe,Gadgets,7657.040430132618,Online sales,7434.48337698542,10%
8,2024-01-01,78,John Doe,Mixed,427,Widget Deluxe,Gadgets,9022.129112092982,Partner sales,9402.195224018253,10%
9,2024-01-01,34,John Doe,Businesses,464,Widget Deluxe,Gadgets,10843.789226763809,Direct sales,6438.575926612456,10%
10,2024-01-01,607,John Doe,Individuals,516,Widget Deluxe,Gadgets,22180.478652134243,Online sales,8274.747173583195,10%
11,2024-01-01,774,John Doe,Individuals,519,Widget Deluxe,Gadgets,14269.744295265167,Online sales,12687.455196740368,10%
12,2024-01-01,290,John Doe,Mixed,447,Widget Deluxe,Gadgets,18268.552178934082,Referral sales,15278.744849704231,10%
13,2024-01-01,380,John Doe,Mixed,513,Widget Deluxe,Gadgets,15871.620824638463,Online sales,5749.914430354787,10%
14,2024-01-01,629,John Doe,Mixed,498,Widget Deluxe,Gadgets,10096.984114954832,Partner sales,26540.435981617964,10%
15,2024-01-01,130,John Doe,Mixed,501,Widget Deluxe,Gadgets,14924.191382563151,Direct sales,11571.594608799678,10%
16,2024-01-01,419,John Doe,Businesses,495,Widget Deluxe,Gadgets,14063.890150058704,Direct sales,25185.704494144877,10%
17,2024-01-01,176,John Doe,Individuals,507,Widget Deluxe,Gadgets,15068.436166548172,Subscription sales,15795.588278701067,10%
18,2024-01-01,98,John Doe,Mixed,527,Widget Deluxe,Gadgets,17695.732320301307,Direct sales,15332.927085334764,10%
19,2024-01-01,494,John Doe,Mixed,519,Widget Deluxe,Gadgets,12629.36361804377,Direct sales,7758.920634856943,10%
20,2024-01-01,611,John Doe,Individuals,581,Widget Deluxe,Gadgets,17156.557108560537,Online sales,13058.056369754728,10%
21,2024-01-01,423,John Doe,Mixed,449,Widget Deluxe,Gadgets,11555.321688887201,Direct sales,6825.103153543634,10%
22,2024-01-01,769,John Doe,Individuals,491,Widget Deluxe,Gadgets,10653.432647357811,Subscription sales,10301.496724618442,10%
23,2024-01-01,18,John Doe,Businesses,539,Widget Deluxe,Gadgets,12238.00355571614,Referral sales,11401.837167729691,10%
24,2024-01-01,59,John Doe,Mixed,518,Widget Deluxe,Gadgets,14613.559921801334,Subscription sales,13349.169897757576,10%
25,2024-01-01,987,John Doe,Mixed,546,Widget Deluxe,Gadgets,16878.629311665587,Partner sales,21389.943992856177,10%
26,2024-01-01,288,John Doe,Mixed,516,Widget Deluxe,Gadgets,14816.339838840264,Direct sales,14465.477258147515,10%
27,2024-01-01,677,John Doe,Businesses,443,Widget Deluxe,Gadgets,14256.742499117492,Direct sales,13120.836624003034,10%
28,2024-01-01,818,John Doe,Individuals,450,Widget Deluxe,Gadgets,14452.514593330252,Online sales,20073.671129201422,10%
29,2024-01-01,742,John Doe,Businesses,495,Widget Deluxe,Gadgets,11761.374605991776,Online sales,1411.9401799105399,10%
30,2024-01-01,90,John Doe,Individuals,485,Widget Deluxe,Gadgets,12508.947534883382,Online sales,14927.06011565631,10%
31,2024-01-01,164,John Doe,Mixed,603,Widget Deluxe,Gadgets,11508.153239109515,Online sales,18607.20430308809,10%
32,2024-01-01,443,John Doe,Businesses,462,Widget Deluxe,Gadgets,11821.3696457648,Referral sales,18381.28960972668,10%
33,2024-01-01,818,John Doe,Businesses,505,Widget Deluxe,Gadgets,3356.877290098584,Online sales,12282.441638168699,10%
34,2024-01-01,489,John Doe,Individuals,445,Widget Deluxe,Gadgets,15296.152512831535,Online sales,14801.67358025547,10%
35,2024-01-01,905,John Doe,Individuals,549,Widget Deluxe,Gadgets,20653.41690549654,Online sales,12419.421608987104,10%
36,2024-01-01,951,John Doe,Individuals,452,Widget Deluxe,Gadgets,11303.435880960666,Direct sales,10177.047823716706,10%
37,2024-01-01,484,John Doe,Individuals,453,Widget Deluxe,Gadgets,8255.418510050618,Partner sales,21261.33818123351,10%
38,2024-01-01,63,John Doe,Businesses,537,Widget Deluxe,Gadgets,14474.648117584384,Subscription sales,6062.4742163712435,10%
39,2024-01-01,574,John Doe,Individuals,550,Widget Deluxe,Gadgets,18826.918016954824,Online sales,10429.579480071676,10%
40,2024-01-01,178,John Doe,Mixed,549,Widget Deluxe,Gadgets,22186.9832034811,Online sales,19850.388680601885,10%
41,2024-01-01,744,John Doe,Individuals,381,Widget Deluxe,Gadgets,14344.25451994355,Online sales,16944.497154639746,10%
42,2024-01-01,980,John Doe,Individuals,489,Widget Deluxe,Gadgets,13184.10966367649,Direct sales,15558.031404553556,10%
43,2024-01-01,546,John Doe,Businesses,522,Widget Deluxe,Gadgets,13712.273419815592,Subscription sales,17041.64562033151,10%
44,2024-01-01,899,John Doe,Individuals,503,Widget Deluxe,Gadgets,17090.361045154707,Online sales,14550.055650239456,10%
45,2024-01-01,315,John Doe,Individuals,474,Widget Deluxe,Gadgets,10871.290953001035,Subscription sales,4150.169202777261,10%
46,2024-01-01,761,John Doe,Individuals,524,Widget Deluxe,Gadgets,8165.098358274205,Subscription sales,26915.032560161657,10%
47,2024-01-01,276,John Doe,Businesses,504,Widget Deluxe,Gadgets,21473.280178776244,Referral sales,14969.769840627127,10%
48,2024-01-01,807,John Doe,Individuals,505,Widget Deluxe,Gadgets,15017.084081777919,Online sales,18287.729745413122,10%
49,2024-01-01,339,John Doe,Individuals,431,Widget Deluxe,Gadgets,11227.019114367857,Partner sales,8239.299288960126,10%
50,2024-01-01,218,John Doe,Mixed,595,Widget Deluxe,Gadgets,18569.065190816134,Online sales,12396.746155683823,10%
51,2024-01-01,361,John Doe,Individuals,494,Widget Deluxe,Gadgets,11391.139176071263,Online sales,19919.430634040975,10%
52,2024-01-01,235,John Doe,Non-profit,548,Widget Deluxe,Gadgets,14244.420974538965,Partner sales,3058.5913344155997,10%
53,2024-01-01,401,John Doe,Businesses,512,Widget Deluxe,Gadgets,7413.082940659377,Direct sales,11862.381373387876,10%
54,2024-01-01,750,John Doe,Individuals,479,Widget Deluxe,Gadgets,9962.542449956483,Direct sales,14486.218029881444,10%
55,2024-01-01,264,John Doe,Non-profit,428,Widget Deluxe,Gadgets,4537.836343658622,Online sales,13052.161126767847,10%
56,2024-01-01,150,John Doe,Individuals,495,Widget Deluxe,Gadgets,8752.162357305293,Online sales,18964.02106643108,10%
57,2024-01-01,917,John Doe,Individuals,482,Widget Deluxe,Gadgets,13495.363204094558,Direct sales,7126.242482127269,10%
58,2024-01-01,190,John Doe,Individuals,505,Widget Deluxe,Gadgets,11009.17307729027,Online sales,19885.267968307606,10%
59,2024-01-01,482,John Doe,Mixed,489,Widget Deluxe,Gadgets,14673.451130994903,Referral sales,15536.067008359638,10%
60,2024-01-01,184,John Doe,Individuals,477,Widget Deluxe,Gadgets,19239.817969388918,Online sales,11616.159694349868,10%
61,2024-01-01,658,John Doe,Mixed,413,Widget Deluxe,Gadgets,15188.557178849878,Subscription sales,14812.126772349988,10%
62,2024-01-01,818,John Doe,Non-profit,472,Widget Deluxe,Gadgets,19560.263155314635,Referral sales,18046.748351239647,10%
63,2024-01-01,271,John Doe,Individuals,452,Widget Deluxe,Gadgets,20551.427238641736,Direct sales,17699.04737747035,10%
64,2024-01-01,634,John Doe,Individuals,489,Widget Deluxe,Gadgets,9818.686732503875,Online sales,13493.601798831101,10%
65,2024-01-01,807,John Doe,Individuals,559,Widget Deluxe,Gadgets,19417.753294556715,Online sales,8730.734190002931,10%
66,2024-01-01,322,John Doe,Businesses,428,Widget Deluxe,Gadgets,14176.157221477362,Online sales,18138.247559516174,10%
67,2024-01-01,457,John Doe,Individuals,582,Widget Deluxe,Gadgets,10395.761783135007,Online sales,13720.925527088248,10%
68,2024-01-01,324,John Doe,Businesses,451,Widget Deluxe,Gadgets,9321.591018951915,Direct sales,7124.824515173098,10%
69,2024-01-01,34,John Doe,Non-profit,514,Widget Deluxe,Gadgets,18388.89717975039,Partner sales,16839.04304075189,10%
70,2024-01-01,93,John Doe,Mixed,522,Widget Deluxe,Gadgets,19534.37306378075,Online sales,14488.858310572332,10%
71,2024-01-01,896,John Doe,Businesses,505,Widget Deluxe,Gadgets,11128.112172636364,Online sales,8808.175243966583,10%
72,2024-01-01,489,John Doe,Individuals,510,Widget Deluxe,Gadgets,15662.307215443287,Referral sales,5211.974217858962,10%
73,2024-01-01,302,John Doe,Businesses,459,Widget Deluxe,Gadgets,5861.505082867806,Partner sales,13120.413842848307,10%
74,2024-01-01,771,John Doe,Mixed,510,Widget Deluxe,Gadgets,13198.488207966986,Partner sales,12737.149363398705,10%
75,2024-01-01,827,John Doe,Individuals,434,Widget Deluxe,Gadgets,22003.27048990312,Subscription sales,10717.927891549543,10%
76,2024-01-01,845,John Doe,Mixed,577,Widget Deluxe,Gadgets,8527.214903892751,Referral sales,16091.684555181848,10%
77,2024-01-01,131,John Doe,Individuals,365,Widget Deluxe,Gadgets,18854.757938628263,Online sales,12204.223492505495,10%
78,2024-01-01,121,John Doe,Mixed,442,Widget Deluxe,Gadgets,13906.815519807913,Direct sales,10430.029902818778,10%
79,2024-01-01,168,John Doe,Businesses,462,Widget Deluxe,Gadgets,11732.925840574117,Online sales,14393.878739551737,10%
80,2024-01-01,35,John Doe,Businesses,496,Widget Deluxe,Gadgets,19068.70008193411,Direct sales,19222.848670169187,10%
81,2024-01-01,966,John Doe,Mixed,524,Widget Deluxe,Gadgets,16705.29952081036,Partner sales,14639.233507226567,10%
